SMILES,pCHEMBL,Molecular Weight,logP,pCHEMBL_norm
Nc1nc(NC2CCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,8.29,350.38,-0.63,0.6128571428571428
COc1ccc(O)c(/C=N/N=C(\S)Cc2ccccc2)c1,7.7,300.38,3.31,0.5285714285714286
COc1ccc(C2CCN(C(=O)COc3ccc(-c4cc5c([nH]4)c(=O)n(C)c(=O)n5C)cc3OC)CC2)cc1,6.06,532.6,3.03,0.2942857142857142
O=C(c1ccccc1)c1sc(NC2CCN(Cc3ccccc3F)CC2)nc1-c1ccco1,6.98,461.56,5.85,0.4257142857142857
Cn1cc2c(nc(NC(=O)Nc3ccco3)n3nc(-c4ccco4)nc23)n1,6.46,364.33,2.51,0.3514285714285714
CC(=O)Nc1cc(-c2cc(C)cc(C)c2)nc(-n2nc(C)cc2C)n1,8.1,335.41,3.52,0.5857142857142856
CN(C)c1nc(-c2nccn2C)c2sccc2n1,7.85,259.34,2.16,0.5499999999999999
CCNC(=O)[C@H]1O[C@@H](N2CNc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,7.57,501.54,-0.5,0.51
Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccc([N+](=O)[O-])cc4)nc23)n1,4.62,428.41,2.77,0.0885714285714285
CCC(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,6.26,303.37,4.16,0.3228571428571428
COc1cnc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(F)cc3)nc12,8.19,446.5,3.47,0.5985714285714285
Nc1nc(NC(=O)CC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.62,406.44,-0.07,0.2314285714285714
O=c1[nH][nH]c2nc(-c3ccco3)c(-c3ccncn3)cc12,6.75,279.26,1.97,0.3928571428571428
O=C(COc1ccc(Nc2nc(OCCc3c[nH]c4cc(Br)ccc34)nc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1)Nc1ccccc1,5.94,730.58,4.06,0.2771428571428572
CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,5.8,447.92,1.93,0.2571428571428571
Nc1nc2c(cnn2CCN2CCN(c3ccc(Cl)cc3)CC2)c2nc(-c3ccco3)nn12,9.3,463.93,2.79,0.7571428571428572
CC(C)[C@H](NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1)C(=O)N[C@@H](CCC1CCCCC1)C(=O)N1c2ccccc2C[C@H]1C(N)=O,4.6,678.88,4.47,0.0857142857142856
Oc1nc2ccccc2n2nc(-c3ccco3)nc12,5.32,252.23,2.24,0.1885714285714286
CCOC(=O)c1nc[nH]c1/N=N/c1c(O)ccc2ccccc12,5.9,310.31,3.86,0.2714285714285714
COC(=O)c1cccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)c1,7.35,349.35,2.5,0.4785714285714285
COc1cccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)c1,8.17,333.35,2.14,0.5957142857142858
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCN4CCN(c5ccc([N+](=O)[O-])cc5)CC4)nc32)[C@H](O)[C@@H]1O,7.62,556.58,-0.69,0.5171428571428571
Cc1ccccc1C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.66,337.4,3.96,0.38
COc1cccc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1,9.0,337.38,2.91,0.7142857142857143
CC(Nc1nc(C(=O)N2CCCC2)c2sccc2n1)c1cccnc1,5.63,353.45,3.5,0.2328571428571428
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(CNC(=O)NCCN4CCCCC4)nc32)[C@H](O)[C@@H]1O,7.77,671.8,2.11,0.5385714285714285
COc1ccccc1CC(=O)Nc1nc(N)nc(-c2ccco2)c1[N+](=O)[O-],8.0,369.34,2.42,0.5714285714285714
CCc1ccc(-c2nc(N)c3cc(CN4CCOCC4)sc3n2)o1,7.1,344.44,2.93,0.4428571428571428
CCc1nc2sc(C(=O)c3cccc(Cl)c3)c(N)c2cc1C,5.04,330.84,4.63,0.1485714285714285
CCCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,6.92,334.38,2.27,0.4171428571428571
