SMILES,pCHEMBL,Molecular Weight,logP,pCHEMBL_norm
CC(=O)Nc1cc(-c2cncc(N3CCOCC3)c2)nc(-n2nc(C)cc2C)n1,8.52,393.45,2.14,0.6457142857142857
N[C@H]1[C@@H](O)[C@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)O[C@@H]1CO,7.19,482.28,0.62,0.4557142857142858
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,5.54,510.29,0.41,0.22
O[C@@H]1[C@H](O)CS[C@H]1n1cnc2c(NCc3cccc(Br)c3)ncnc21,6.38,422.31,2.17,0.33999999999999997
Nc1nc(-c2ncccn2)nc2sc(Cc3ccccc3)cc12,7.77,319.39,3.32,0.5385714285714285
COCCOc1ccc(N2CCN(CCNc3cc4nc(-c5ccco5)nn4c(N)n3)CC2)cc1,8.02,478.56,2.23,0.5742857142857142
CC(=O)Nc1cc(N2CCc3ccccc3C2)nc(-n2nc(C)cc2C)n1,8.38,362.44,2.8,0.6257142857142858
Cc1ccc2c(O)cc(-c3ccc(N)cc3)nc2n1,6.96,251.29,2.89,0.4228571428571429
S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1cccc(Cl)c1,10.42,385.86,4.77,0.9171428571428571
CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,8.45,303.37,3.15,0.6357142857142856
Cc1cc(C)nc(NC(=N)NCCc2c[nH]c3ccc(F)cc23)n1,6.7,326.38,2.89,0.38571428571428573
COc1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,8.11,321.34,2.73,0.5871428571428571
CCCCC#Cc1nc(N)c2ncn([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,7.92,333.42,0.92,0.5599999999999999
Nc1nc(-c2ccco2)c2ncn(Cc3ccc4ccccc4c3)c2n1,8.85,341.37,3.87,0.6928571428571428
Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccccn3)nn12,7.24,308.35,1.61,0.4628571428571429
CC1CCCN(C(=O)c2cc(N)n3nc(-c4ccc(Br)o4)nc3c2)C1,8.52,404.27,3.21,0.6457142857142857
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.09,381.69,5.8,0.1557142857142857
Nc1nc(N2CCN(C(=O)C(c3ccccc3)c3ccccc3)CC2)nc2nc(-c3ccco3)nn12,7.03,480.53,2.84,0.4328571428571429
CCCn1c(=O)c2[nH]c(-c3ccc(OC(CC)C(=O)Nc4ccc(Br)cc4)cc3)cc2n(CCC)c1=O,7.5,567.48,5.54,0.5
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)cc2n(C)c1=O,5.91,483.32,3.01,0.27285714285714285
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)cc2n(C)c1=O,7.18,450.47,3.26,0.45428571428571424
Nc1nc2nn(CCc3cccc4ccccc34)cc2c2nc(-c3ccco3)nn12,6.05,395.43,3.71,0.2928571428571428
O=C(Nc1cnc(-c2ccncc2)c(-c2cccnc2)n1)C1CC1,6.51,317.35,2.95,0.35857142857142854
O=C(Nc1cnc(-c2ccncc2)c(-c2cnco2)n1)C1CC1,6.2,307.31,2.54,0.31428571428571433
CCCn1cc2nc(N)n3nc(-c4ccco4)nc3c2c1,7.52,282.31,2.33,0.5028571428571428
COc1cccc2c(C(=O)NCc3cccc(Cc4cccnc4)n3)nc(N)nc12,8.3,400.44,2.53,0.6142857142857144
