epoch,train_loss,val_loss
0,0.030274350196123123,0.030568640679121017
1,0.024650856852531433,0.023484958335757256
2,0.02221924439072609,0.03685496374964714
3,0.021622469648718834,0.023896008729934692
4,0.021673811599612236,0.02082979492843151
5,0.020438605919480324,0.020772811025381088
6,0.020157666876912117,0.020289894193410873
7,0.019338812679052353,0.02062428742647171
8,0.019304538145661354,0.021680498495697975
9,0.019040996208786964,0.020566580817103386
10,0.0188197810202837,0.02128022536635399
11,0.017934245988726616,0.01899217627942562
12,0.017113003879785538,0.018868226557970047
13,0.016871893778443336,0.01869833841919899
14,0.01611335389316082,0.018256746232509613
15,0.015105420723557472,0.017246220260858536
16,0.01477224100381136,0.018830634653568268
17,0.014335797168314457,0.01607130840420723
18,0.013607991859316826,0.015685049816966057
19,0.01318593043833971,0.016169944778084755
20,0.012089046649634838,0.015231027267873287
21,0.011683840304613113,0.015063835307955742
22,0.010955753736197948,0.015061932615935802
23,0.01034650206565857,0.014752130024135113
24,0.009828805923461914,0.013954867608845234
25,0.009558655321598053,0.014512024819850922
26,0.009236153215169907,0.015172747895121574
27,0.008723767474293709,0.015077183023095131
28,0.00833435170352459,0.014187364839017391
29,0.007601083256304264,0.01509343832731247
30,0.007399200461804867,0.013631902635097504
31,0.00698048435151577,0.014342112466692924
32,0.006821023765951395,0.01376943476498127
33,0.006333927623927593,0.014162019826471806
34,0.00600696075707674,0.015428095124661922
35,0.0059727951884269714,0.014160667546093464
36,0.005735794082283974,0.013608972541987896
37,0.005223364569246769,0.0141451982781291
38,0.00500896293669939,0.013802631758153439
39,0.004662809427827597,0.014122886583209038
40,0.004520820453763008,0.014299014583230019
41,0.004318001214414835,0.014312190935015678
42,0.004179500043392181,0.014301390387117863
43,0.00418196152895689,0.01399291679263115
44,0.003907191567122936,0.01427813246846199
45,0.0034865299239754677,0.014432067051529884
46,0.0033996920101344585,0.013273020274937153
47,0.0035863255616277456,0.014732427895069122
48,0.0033489984925836325,0.01449490524828434
49,0.003004355588927865,0.014724102802574635
50,0.0028160461224615574,0.014857382513582706
51,0.0026990140322595835,0.015159389935433865
52,0.0029273286927491426,0.014912658371031284
53,0.002925419481471181,0.015052419155836105
54,0.0024259667843580246,0.015526995994150639
55,0.002391253598034382,0.0144509207457304
56,0.0024289204739034176,0.014818399213254452
