epoch,train_loss,val_loss
0,0.03241607919335365,0.03117525950074196
1,0.02833566628396511,0.027269605547189713
2,0.025799181312322617,0.022105684503912926
3,0.02258107252418995,0.021265748888254166
4,0.01946687325835228,0.016555054113268852
5,0.016920046880841255,0.016976578161120415
6,0.01515270210802555,0.014721043407917023
7,0.013602855615317822,0.015256959944963455
8,0.012517078779637814,0.015569689683616161
9,0.011356974020600319,0.012328295968472958
10,0.010193951427936554,0.013513518497347832
11,0.009662075899541378,0.01296244841068983
12,0.00879460759460926,0.011924111284315586
13,0.007812272757291794,0.012551805004477501
14,0.007796823978424072,0.013580860570073128
15,0.007456861436367035,0.011500775814056396
16,0.0070876386016607285,0.012354074977338314
17,0.006343675311654806,0.011506055481731892
18,0.005983442068099976,0.011403261683881283
19,0.005636420100927353,0.011762875132262707
20,0.005743542220443487,0.013108859769999981
21,0.005471543874591589,0.013094904832541943
22,0.005178666673600674,0.011916222982108593
23,0.005172260571271181,0.012546741403639317
24,0.0048517463728785515,0.012292559258639812
25,0.004723940975964069,0.012204521335661411
26,0.004608903080224991,0.011577747762203217
27,0.004723052028566599,0.011215920560061932
28,0.004748803563416004,0.012307491153478622
29,0.004525883588939905,0.011872454546391964
30,0.004342150408774614,0.012109733186662197
31,0.004308333154767752,0.011707409285008907
32,0.00413680961355567,0.012260641902685165
33,0.00420465599745512,0.013312945142388344
34,0.004089757334440947,0.012447546236217022
35,0.003868628991767764,0.012640180066227913
36,0.0040521277114748955,0.012357650324702263
37,0.0038990816101431847,0.011830291710793972
